k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,2797.26448638986,0.324963889694249,324.2126969811986,1.253082772470747
3,2231.4597765402355,0.2982933069990535,280.08503877785625,1.2163810917601783
4,1801.0015221199528,0.3228712128077945,279.4117709895196,1.0528751796122147
5,1534.799229391501,0.28195585127963446,271.8213620065752,1.1408149362908324
6,1346.2371926904825,0.29276180331912444,264.4830006028334,1.12231655997585
7,1247.6385793242991,0.29089780401317245,245.3967425544673,1.1545085439957454
8,1173.7940745571045,0.2946935704667284,228.6315339884138,1.1586118654049562
9,1083.4529862677603,0.2964844547133606,222.65962087666279,1.1995735731146793
10,1028.8092110932425,0.2772787408553253,211.6389439786858,1.2676900224877987
11,952.3575931834248,0.2863227481561417,210.24845087900877,1.2173092625655468
12,907.9125056871708,0.27809117608872624,202.82816439800033,1.1051136891439524
13,852.9233565640643,0.29270998024230266,200.8010541628461,1.1222529743132612
14,792.7780565617778,0.2926970406238639,202.57398406642668,1.1679259434517328
15,756.4227148385869,0.29693341030027354,198.8649617213379,1.1681442215520867
